ID,sku,name
359,4S13,"For iPhone 4S Home Button Holder",0.0000
382,5C10,"For iPhone 5C Earpiece",0.0000
393,5G13,"For iPhone 5 Earpiece",0.0000
394, 5G16,"For iPhone 5 Screw kit White",0.0000
399,"5G32 ","For iPhone 5 Home Button Holder",0.0000
410,5S06,"For iPhone 5S Speaker",0.0000
412,5S08,"For iPhone 5S Earpiece",0.0000
458,6G12,"For iPhone 6 earpiece",0.0000
467,6G18,"For iPhone 6 Screw Kit",0.0000
476,6G46,"For iPhone 6 Wifi antenna",0.0000
478,6G48,"For iPhone 6 Home Button Glue",0.0000
482,6G49,"For iPhone 6 GPS",0.0000
484,6G50,"For iPhone 6 Battery Stivkers",0.0000
553,6P37,"For iPhone 6 Plus Home Button Glue",0.0000
556,6P42,"For iPhone 6 Plus Wifi Antenna",0.0000
559,6P43,"For iPhone 6 Plus Battery Stickers",0.0000
615,6S08,"For iPhone 6S Earpiece",0.0000
627,6S32,"For iPhone 6S Earpiece/Front camera Bracket",0.0000
719,SAG92020,"For Samsung S6 G920 Camera Frame White",0.0000
745,4GS07,"For iPhone 4/4S Power On/OFF Contact Button",0.0000
766,5G19,"For iPhone 5 Bottom Screw Black",0.0000
770,5G79,"For iPhone 5/5C/5S Button Screws Gold",0.0000
771,5G80,"For iPhone 5/5C/5S Button Screws White",0.0000
772,5G81,"For iPhone 5/5C/5S Button Screws Black",0.0000
778,5S101,"For iPhone 5S/5C Battery Sticker",0.0000
785,6G68A,"For iPhone 6 Camera Lens Gray",0.0000
786,6G70,"For iPhone 6 Camera Lens Gold",0.0000
788,6G73,"For iPhone 6/6 Plus/6S/6S Plus Button Screws Gold",0.0000
790,6G74,"For iPhone 6/6 Plus/6S/6S Plus Button Screws White",0.0000
791,6G75,"For iPhone 6/6 Plus/6S/6S Plus Button Screws Grey",0.0000
793,6G76,"For iPhone 6/6 Plus/6S/6S Plus Button Screws Rose",0.0000
805,6S77,"For iPhone 6S Camera Lens Gray",0.0000
806,6S78,"For iPhone 6S Camera Lens White",0.0000
807,6S79,"For iPhone 6S Camera Lens gold",0.0000
808,6S80,"For iPhone 6S Camera Lens Rose",0.0000
819,6SP77,"For iPhone 6S Plus Camera Lens White",0.0000
820,6SP78,"For iPhone 6S Plus Camera Lens Gray",0.0000
821,6SP79,"For iPhone 6S Plus Camera Lens Gold",0.0000
822,6SP80,"For iPhone 6S Plus Camera Lens Rose",0.0000
916,G107030,"For Sony Xperia Z3/Z3 Compact/Z5 Compact Sim Card Holder",0.0000
923,SON42,"For Sony Xperia Z L36h Adhesive Back Cover",0.0000
940,SON396,"For Sony Xperia Z Front Adhesive Original  L36h",0.0000
941,SON397,"For Sony Xperia D6503 Z2 Front Adhesive",0.0000
942,SON398,"For Sony Xperia D6503 Z2 Back Cover Adhesive",0.0000
944,SON400,"For Sony Xperia Z1 Compact Main Flex",0.0000
960,SON436,"For Sony Xperia Z3 Front Adhesive",0.0000
961,SON437,"For Sony Xperia Z3 Back Adhesive",0.0000
962,SON440,"For Sony Xperia Z3 Compact Front Adhesive",0.0000
963,SON441,"For Sony Xperia Z3 Compact Back Adhesive",0.0000
969,SON448,"For Sony Z1 Front Adhesive",0.0000
985,SON486,"For Sony Xperia Z3+ Frame Adhesive",0.0000
986,SON487,"For Sony Xperia Z3+ Back Adhesive",0.0000
993,SON507,"For Sony Xperia M4 Aqua Back Adhesive",0.0000
1104,7G56,"For iPhone 7 Camera Lens with Bezel",0.0000
1330,SONZ5C006,"For Sony Xperia Z5 Compact E5823 Back Adhesive",0.0000
1381,SONZ5007,"For Sony Xperia Z5 E6653 Front Adhesive",0.0000
1408,HWH8LITE322,"For Huawei Honor 8 Lite Battery Back Cover Sticker Adhesive",0.0000
1409,HWP10LITE321,"For Huawei P10 Lite Battery Back Cover Sticker Adhesive",0.0000
1462,6G121,"For iPhone 6 / 6 Plus Home Button Metal Holder",0.0000
1463,7P121,"For iPhone  7 Plus Home Button Metal Holder",0.0000
1464,6SP021,"For iPhone  6s Plus Home Button Metal Holder",0.0000
1465,7G121,"For iPhone  7  Home Button Metal Holder",0.0000
1466,6S121,"For iPhone  6s  Home Button Metal Holder",0.0000
1621,6S021,"For iPhone 6S LCD Connectors Protector Plate",0.0000
1623,6SP023,"For iPhone 6S Plus LCD Connectors Protector Plate",0.0000
1625,7G022,"For iPhone 7 Plus LCD Connectors Protector Plate",0.0000
1627,7P022,"For iPhone 7 Plus LCD Connectors Protector Plate",0.0000
